Player,STT,LIR,NS,A3N,TOTAL,Test,Type,Code
P1,2.5,0.0,0.0,5.0,7.5,L9x8-31696699,LE,"train(Worker,19,EnemyDir)"
P2,5.0,1.0,2.5,6.0,14.5,L9x8-31696699,LE,"attack(Worker,closest) train(Worker,6,Left) build(Base,3,Left) harvest(6)"
P3,1.0,0.0,0.0,0.0,1.0,L9x8-31696705,ME,"harvest(2) for(u) (attack(Worker,closest,u) harvest(7,u) train(Worker,7,Left))"
P4,3.0,0.0,1.0,3.0,7.0,L9x8-31696705,LE,"train(Worker,4,EnemyDir) for(u) (build(Base,3,Right,u) attack(Worker,closest,u) harvest(4,u))"
P5,8.0,0.0,4.5,4.0,16.5,L9-42849689,LE,"for(u) (attack(Worker,closest,u) train(Worker,5,Left) build(Barrack,1,Right,u) harvest(9,u) moveaway(Worker,u))"
P6,0.0,0.0,0.0,0.0,0.0,L9-42849689,MP,"for(u) (harvest(4,u) attack(Worker,closest,u) harvest(5,u) build(Base,2,Left,u)) for(u) (train(Worker,7,Right) harvest(5,u))"
P7,0.0,0.0,0.0,4.0,4.0,L9-42849689,ME,"for(u) (harvest(8,u) moveaway(Worker,u) train(Worker,16,EnemyDir)) for(u) (build(Barrack,3,Up,u)) for(u) (attack(Worker,weakest,u))"
P8,0.0,0.0,0.0,0.0,0.0,L9-42849689,LE,"for(u) (train(Worker,5,Up)) if(HaveQtdUnitsbyType(Ranged,8)) (build(Barrack,2,Right)) for(u) (attack(Worker,mostHealthy,u) harvest(8,u))"
P9,2.0,0.0,0.0,0.0,2.0,L9x8-31696705,LE,"for(u) (train(Worker,5,Right)) for(u) (attack(Worker,lessHealthy,u) harvest(1,u) train(Ranged,13,Down) harvest(3,u) build(Barrack,2,Left,u))"
P10,0.0,0.0,0.0,0.0,0.0,L9x8-31696699,ME,"for(u) (if(HaveUnitsToDistantToEnemy(Worker,4,u)) (build(Base,2,Down,u)) (harvest(1,u)) attack(Worker,lessHealthy,u) harvest(8,u)) for(u) (train(Worker,15,Right))"
P11,1.0,0.0,0.0,0.0,1.0,L9x8-31696699,MP,"for(u) (train(Worker,4,Up) attack(Worker,lessHealthy,u) if(HaveQtdUnitsHarversting(1)) (build(Barrack,1,Down,u)) harvest(5,u) train(Heavy,3,EnemyDir) attack(Heavy,lessHealthy,u))"
P12,9.5,5.0,7.0,10.0,31.5,L9x8-31696705,MP,"for(u) (train(Ranged,4,Up) harvest(6,u) train(Worker,6,Left)) build(Barrack,2,Right) attack(Ranged,closest) for(u) (moveToUnit(Worker,Ally,farthest,u)) moveToUnit(Ranged,Ally,lessHealthy)"
