Player,STT,LIR,RAR,WOR,NS,A3N,TOTAL,Test,Type,Code
P1,0.0,0.0,0.0,0.0,1.5,0.0,1.5,LBattle-31696507,LE,"attack(Ranged,lessHealthy) attack(Heavy,closest)"
P2,4.5,5.0,5.0,5.0,3.5,2.5,25.5,Battle-31696509,LE,"for(u) (attack(Ranged,closest,u)) attack(Heavy,closest)"
P3,3.5,5.0,5.0,5.0,3.5,3.0,25.0,LBattle-31696511,ME,"attack(Ranged,closest) for(u) (attack(Heavy,closest,u))"
P4,4.5,5.0,5.0,5.0,3.0,1.0,23.5,LBattle-31696506,ME,"for(u) (attack(Heavy,closest,u) attack(Ranged,closest,u))"
P5,5.0,5.0,5.0,5.0,3.5,2.0,25.5,Battle-31696509,ME,"for(u) (attack(Ranged,closest,u)) for(u) (attack(Heavy,closest,u))"
P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Battle-31696509,LE,"for(u) (attack(Heavy,closest,u) moveToUnit(Ranged,Ally,strongest,u))"
P7,0.0,0.0,0.0,0.0,0.5,0.0,0.5,LB-42826120,LE,"for(u) (moveToUnit(Ranged,Ally,strongest,u)) for(u) (attack(Ranged,closest,u))"
P8,0.0,0.0,0.0,0.0,1.0,0.5,1.5,LBattle-31696511,LE,"moveToUnit(Ranged,Enemy,closest) attack(Ranged,lessHealthy) attack(Heavy,closest)"
P9,5.0,5.0,5.0,5.0,4.0,2.5,26.5,Battle-31696509,MP,"attack(Heavy,closest) if(HaveUnitsToDistantToEnemy(Heavy,7)) (attack(Ranged,closest))"
P10,3.5,5.0,5.0,5.0,3.0,1.5,23.0,LBattle-31696507,ME,"attack(Heavy,closest) if(HaveUnitsToDistantToEnemy(Ranged,8)) (attack(Ranged,closest))"
P11,3.0,10.0,10.0,10.0,2.0,2.0,37.0,LBattle-31696507,LE,"moveToUnit(Ranged,Ally,strongest) for(u) (attack(Ranged,closest,u) attack(Heavy,closest,u))"
P12,0.0,0.0,0.0,0.0,3.5,4.0,7.5,LB-42826107,LE,"if(HaveUnitsToDistantToEnemy(Ranged,9)) (attack(Ranged,closest)) (attack(Heavy,lessHealthy))"
P13,4.5,5.0,5.0,5.0,3.0,3.0,25.5,Battle-31696509,LE,"if(HaveUnitsToDistantToEnemy(Ranged,8)) (attack(Ranged,closest)) for(u) (attack(Heavy,closest,u))"
P14,7.0,10.0,10.0,10.0,4.5,1.0,42.5,LB-42826107,MP,"attack(Ranged,closest) for(u) (if(HaveUnitsToDistantToEnemy(Heavy,9,u)) (attack(Heavy,closest,u)))"
P15,0.0,0.0,0.0,0.0,0.5,1.0,1.5,LB-42826107,LE,"if(HaveUnitsToDistantToEnemy(Ranged,9)) (attack(Ranged,closest)) moveaway(Heavy) attack(Heavy,closest)"
P16,3.0,10.0,10.0,10.0,1.0,1.5,35.5,LB-42826120,MP,"for(u) (moveToUnit(Ranged,Ally,strongest,u) attack(Ranged,closest,u)) for(u) (attack(Heavy,closest,u))"
P17,5.0,10.0,10.0,10.0,3.0,0.5,38.5,LBattle-31696511,MP,"attack(Heavy,closest) for(u) (if(HaveQtdUnitsAttacking(Ranged,1)) (moveaway(Ranged,u)) attack(Ranged,closest,u))"
P18,4.5,5.0,5.0,5.0,3.5,2.0,25.0,LBattle-31696511,LE,"if(HaveUnitsinEnemyRange(Ranged)) (attack(Ranged,closest)) (moveToUnit(Ranged,Enemy,weakest) attack(Heavy,closest))"
P19,3.5,5.0,5.0,5.0,4.0,3.0,25.5,LBattle-31696506,MP,"moveToUnit(Heavy,Enemy,closest) for(u) (attack(Heavy,closest,u)) for(u) (if(HaveEnemiesStrongest(Ranged,u)) (attack(Ranged,closest,u)))"
P20,5.0,10.0,10.0,10.0,0.5,3.5,39.0,LBattle-31696507,MP,"for(u) (attack(Heavy,closest,u)) for(u) (if(HaveEnemiesStrongest(Ranged,u)) (moveToUnit(Ranged,Ally,strongest,u))) attack(Ranged,closest)"
P21,1.0,0.0,0.0,0.0,4.5,1.5,7.0,Battle-31696509,LE,"if(HaveEnemiesinUnitsRange(Ranged)) (attack(Ranged,closest)) attack(Heavy,weakest) moveToUnit(Ranged,Ally,farthest) attack(Ranged,strongest)"
P22,3.0,5.0,5.0,5.0,5.0,1.5,24.5,LB-42826120,ME,"for(u) (if(HaveEnemiesinUnitsRange(Ranged,u)) (attack(Ranged,closest,u)) (attack(Heavy,closest,u))) for(u) (moveaway(Ranged,u) attack(Ranged,closest,u))"
P23,3.0,7.5,7.5,7.5,2.5,4.0,32.0,LB-42826120,LE,"attack(Heavy,closest) if(HaveUnitsToDistantToEnemy(Ranged,7)) (attack(Ranged,closest)) if(HaveQtdUnitsbyType(Heavy,2)) (moveToUnit(Ranged,Ally,strongest))"
P24,0.5,5.0,5.0,5.0,2.5,1.0,19.0,LB-42826107,ME,"for(u) (attack(Heavy,strongest,u)) if(HaveQtdUnitsbyType(Heavy,3)) (moveToUnit(Ranged,Ally,lessHealthy)) (attack(Ranged,closest)) for(u) (moveaway(Ranged,u)) moveaway(Ranged)"
